cutoff_q,城市,train_years,holdout_years,n_units,p_holdout_repeat_2021_2022,p_holdout_mean_2021_2022,p_holdout_ever_2021_2022,X_train_2018_2020,lambda_train_2018_2020,non_escape_train_2018_2020,lambda_denominator,delta_active_train_2018_2020,delta_all3_train_2018_2020,delta_denominator,train_bottom_share_mean,train_bottom_share_2020,p11_train_2018_2020,p11_denominator,pred_pathway_active,pred_pathway_all3,pred_exposure_only,pred_independence,pred_markov_pair,pred_last_state_markov
0.1,上海,2018-2020,2021-2022,3292,0.0911300121506683,0.10024301336573511,0.10935601458080195,0.11786148238153099,0.14594594594594595,0.854054054054054,370,0.9541284403669725,0.8409785932721713,327,0.10024301336573511,0.10024301336573511,0.8954545454545455,660,0.09604264212711715,0.08465296982358082,0.11786148238153099,0.010048661728642948,0.08976306196840826,0.08976306196840826
0.1,丹东,2018-2020,2021-2022,57,0.017543859649122806,0.10526315789473684,0.19298245614035087,0.24561403508771928,0.7,0.30000000000000004,10,0.6666666666666666,0.3333333333333333,3,0.10526315789473684,0.10526315789473684,0.3333333333333333,12,0.04912280701754386,0.02456140350877193,0.24561403508771928,0.011080332409972297,0.03508771929824561,0.03508771929824561
0.1,保定,2018-2020,2021-2022,30,0.0,0.1,0.2,0.16666666666666666,0.5,0.5,4,1.0,1.0,2,0.1,0.1,0.6666666666666666,6,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.010000000000000002,0.06666666666666667,0.06666666666666667
0.1,北京,2018-2020,2021-2022,4426,0.08653411658382286,0.10009037505648441,0.11364663352914596,0.12178038861274289,0.18503937007874016,0.8149606299212598,508,0.9471264367816092,0.8160919540229885,435,0.10009037505648441,0.10009037505648441,0.8679458239277652,886,0.0939987208113781,0.08099404341757092,0.12178038861274289,0.010018083178947717,0.0868730230456394,0.0868730230456394
0.1,南京,2018-2020,2021-2022,497,0.08249496981891348,0.1006036217303823,0.11871227364185111,0.13279678068410464,0.22807017543859648,0.7719298245614035,57,0.8913043478260869,0.8260869565217391,46,0.1006036217303823,0.1006036217303823,0.82,100,0.09136742652712614,0.08468200507392179,0.13279678068410464,0.01012108870526985,0.08249496981891348,0.08249496981891348
0.1,吉林,2018-2020,2021-2022,150,0.04,0.1,0.16,0.21333333333333335,0.6086956521739131,0.3913043478260869,23,0.6,0.3,10,0.1,0.1,0.4,30,0.050086956521739126,0.025043478260869563,0.21333333333333335,0.010000000000000002,0.04000000000000001,0.04000000000000001
0.1,呼和浩特,2018-2020,2021-2022,109,0.08256880733944955,0.10091743119266056,0.11926605504587157,0.11926605504587157,0.23076923076923078,0.7692307692307692,13,1.0,0.8181818181818182,11,0.10091743119266056,0.10091743119266056,0.8636363636363636,22,0.09174311926605504,0.0750625521267723,0.11926605504587157,0.010184327918525377,0.0871559633027523,0.0871559633027523
0.1,哈尔滨,2018-2020,2021-2022,358,0.030726256983240222,0.1005586592178771,0.17039106145251395,0.20670391061452514,0.6440677966101694,0.35593220338983056,59,0.875,0.4166666666666667,24,0.1005586592178771,0.1005586592178771,0.4305555555555556,72,0.0643760060600322,0.030655240980967717,0.20670391061452514,0.010112043943697139,0.04329608938547486,0.04329608938547486
0.1,唐山,2018-2020,2021-2022,75,0.05333333333333334,0.10666666666666667,0.16,0.21333333333333335,0.5,0.5,12,0.6666666666666666,0.3333333333333333,6,0.10666666666666667,0.10666666666666667,0.5,16,0.07111111111111111,0.035555555555555556,0.21333333333333335,0.01137777777777778,0.05333333333333334,0.05333333333333334
0.1,大连,2018-2020,2021-2022,1318,0.07738998482549317,0.10015174506828528,0.12291350531107739,0.1267071320182094,0.19480519480519481,0.8051948051948052,154,0.9153846153846154,0.7615384615384615,130,0.10015174506828528,0.10015174506828528,0.8446969696969697,264,0.09339113087216273,0.07769514249028665,0.1267071320182094,0.010030372040222805,0.08459787556904401,0.08459787556904401
