cutoff_q,predictor,predictor_label,target,n_cities,pearson,spearman,mae,rmse,mean_signed_error,mae_ci_low,mae_ci_high,pearson_ci_low,pearson_ci_high,mae_reduction_vs_exposure_only,relative_mae_reduction_vs_exposure_only
0.1,last_state_markov,Last-state Markov,p_holdout_repeat_2021_2022,20,0.7444499009119708,0.7744360902255639,0.009242836172748067,0.017521399127904944,0.005473272474358333,0.0040743790834713595,0.01661404399959377,0.4683834574019606,0.9709480640683414,0.10217894898876943,0.9170464181726257
0.1,markov_pair,Markov-pair null,p_holdout_repeat_2021_2022,20,0.7444499009119708,0.7744360902255639,0.009242836172748067,0.017521399127904944,0.005473272474358333,0.0039450236615806026,0.016810594677967996,0.4761203465446838,0.9724072967982171,0.10217894898876943,0.9170464181726257
0.1,pathway_all3,Strict early pathway,p_holdout_repeat_2021_2022,20,0.5221492798223678,0.6571428571428571,0.016253176513800614,0.025772880854530736,-0.006082359592709319,0.00834732158038147,0.025837222511193216,0.03486281473509003,0.9329524211713643,0.0951686086477169,0.8541292756148187
0.1,pathway_active,Early pathway,p_holdout_repeat_2021_2022,20,0.6807503267650606,0.8330827067669173,0.021282455000941652,0.02811718643856278,0.021282455000941652,0.01410889291074817,0.030284432380245356,0.40169167175189413,0.9339448628437836,0.09013933016057585,0.8089919761194768
0.1,independence,Independence null,p_holdout_repeat_2021_2022,20,-0.15387952515228745,-0.11583302812384912,0.05008193584781604,0.055095353077370485,-0.04908193584781604,0.03983852177147718,0.06012343624601602,-0.6298963961565627,0.3208059434058356,0.06133984931370146,0.5505193551223664
0.1,exposure_only,Exposure only,p_holdout_repeat_2021_2022,20,-0.6813523578003358,-0.7423844075210329,0.1114217851615175,0.12761042611165294,0.1114217851615175,0.08423478320199539,0.13879989952989738,-0.9541562950031156,-0.36239435834163863,0.0,0.0
0.15,last_state_markov,Last-state Markov,p_holdout_repeat_2021_2022,20,0.7444931196226325,0.7368421052631579,0.012636925349895078,0.01765082828105485,0.0008907626917549104,0.007995551860211898,0.018563073626155085,0.4758850847157765,0.9420564228348915,0.12324355598561787,0.9069997013133014
0.15,markov_pair,Markov-pair null,p_holdout_repeat_2021_2022,20,0.7444931196226325,0.7368421052631579,0.012636925349895078,0.01765082828105485,0.0008907626917549104,0.007854119166395333,0.018515771380949404,0.4482347279612206,0.9464215785717414,0.12324355598561787,0.9069997013133014
0.15,pathway_active,Early pathway,p_holdout_repeat_2021_2022,20,0.8141864790606386,0.7999999999999999,0.022138440370951584,0.025663745079221978,0.022007721416703218,0.016205081127046897,0.027822756233328198,0.621505591807126,0.9282781248379598,0.11374204096456136,0.8370741687594714
0.15,pathway_all3,Strict early pathway,p_holdout_repeat_2021_2022,20,0.6603463129968847,0.6857142857142857,0.02341004884526237,0.03462532337977791,-0.019030235999220185,0.013875418391029756,0.03615993401950889,0.3227415846032878,0.9092254495077594,0.11247043249025057,0.827715882257888
0.15,independence,Independence null,p_holdout_repeat_2021_2022,20,-0.4406974063388783,-0.5984962406015037,0.07896027189055067,0.08235260788227176,-0.07896027189055067,0.06849863947182674,0.08873322404424089,-0.747007504111276,0.003391153811742901,0.056920209444962275,0.4188990860609053
0.15,exposure_only,Exposure only,p_holdout_repeat_2021_2022,20,-0.781019687796468,-0.7729323308270677,0.13588048133551295,0.15129898485506413,0.13588048133551295,0.10577850136384576,0.16572437331746456,-0.9366951679882042,-0.5525352016216755,0.0,0.0
0.2,last_state_markov,Last-state Markov,p_holdout_repeat_2021_2022,20,0.43107743393352493,0.5671305402946898,0.021742399830562805,0.03332694647874368,0.003085133438868068,0.012156007421684118,0.034082394015645334,-0.07464097970883138,0.8819041451264772,0.13618194122852598,0.8623239477540217
0.2,markov_pair,Markov-pair null,p_holdout_repeat_2021_2022,20,0.42900661103111143,0.5671305402946898,0.021849403704769572,0.03337149721807606,0.00319213731307484,0.012053836410390463,0.034316919806304025,-0.07039516634970396,0.8783743227387207,0.13607493735431922,0.8616463835895036
0.2,pathway_active,Early pathway,p_holdout_repeat_2021_2022,20,0.6146486881047493,0.6325686795594617,0.03375225588081139,0.03957550217772201,0.03004855217710769,0.02489076033770569,0.04308596715919249,0.10897251483135191,0.9079454134540185,0.1241720851782774,0.7862757846291555
0.2,pathway_all3,Strict early pathway,p_holdout_repeat_2021_2022,20,0.293416902314176,0.436254261765146,0.03509766165225218,0.053886320044327425,-0.023393136136074848,0.019934187581877098,0.05570059322589273,-0.17269774068287405,0.7745981882663983,0.12282667940683661,0.7777564787234409
0.2,independence,Independence null,p_holdout_repeat_2021_2022,20,0.0644043865635311,-0.2083817236365556,0.10090313432369195,0.1060055970488343,-0.10090313432369195,0.08647660898866953,0.11504264372847832,-0.7267360858284351,0.47321847687450114,0.05702120673539683,0.36106661172682586
0.2,exposure_only,Exposure only,p_holdout_repeat_2021_2022,20,-0.4097450300116422,-0.5718585402558314,0.15792434105908879,0.17510631095852552,0.15792434105908879,0.1251914040266065,0.1914942458437666,-0.8890550748675797,0.1221362138219652,0.0,0.0
0.25,last_state_markov,Last-state Markov,p_holdout_repeat_2021_2022,20,0.29228722064969087,0.5573524275309882,0.023258741397021082,0.039416525599390226,3.2872516588942216e-05,0.012023830625369257,0.04002965194479562,-0.30769667672228423,0.9055199031034278,0.14547949183198966,0.8621608099602748
0.25,markov_pair,Markov-pair null,p_holdout_repeat_2021_2022,20,0.29228722064969087,0.5573524275309882,0.023258741397021082,0.039416525599390226,3.2872516588942216e-05,0.012233435099089137,0.03906644953473214,-0.2878922577334617,0.9015162268502591,0.14547949183198966,0.8621608099602748
0.25,pathway_active,Early pathway,p_holdout_repeat_2021_2022,20,0.47012900716165495,0.535539714442731,0.03745041418413924,0.0429772591532598,0.02992765816220309,0.0281440918479524,0.04704232579169523,0.008913580830692738,0.8579253959437582,0.1312878190448715,0.7780561437234458
0.25,pathway_all3,Strict early pathway,p_holdout_repeat_2021_2022,20,0.19425545185221685,0.5084618637124805,0.03816589234187858,0.06982219716210615,-0.03321560877981403,0.017058691371615104,0.06648791864577164,-0.3288167398630896,0.8600841629117236,0.13057234088713215,0.7738159774964574
0.25,independence,Independence null,p_holdout_repeat_2021_2022,20,-0.16205353729378363,-0.12851013765638994,0.1258898239126769,0.13074954144340586,-0.1258898239126769,0.1101317737578154,0.14106798663003872,-0.6013715803743194,0.457600636811924,0.04284840931633385,0.2539342062339849
