城市,ever_bottom_count,eligible_one_step_count,persistent_among_ever,path_one_shot_share,path_short_repeat_nonpersistent_share,path_continuous_persistent_share,path_fragmented_persistent_share,immediate_escape_share,immediate_repeat_share,deepening_given_repeat,continuous_given_repeat,fragmented_given_repeat,relapse_given_escape,one_shot_given_escape,mean_bottom_years_total,mean_longest_bottom_streak,mechanism_group,mean_gini_2018_2022,persistent_among_ever_from_dashboard
呼和浩特,17,17,0.7058823529411765,0.11764705882352941,0.17647058823529413,0.7058823529411765,0.0,0.17647058823529413,0.8235294117647058,0.8571428571428571,0.8571428571428571,0.0,0.3333333333333333,0.6666666666666666,3.7058823529411766,3.6470588235294117,,,
上海,350,342,0.6914285714285714,0.21142857142857144,0.09714285714285714,0.68,0.011428571428571429,0.23976608187134502,0.7602339181286549,0.9153846153846154,0.9115384615384615,0.0038461538461538464,0.1951219512195122,0.8048780487804879,3.5628571428571427,3.5085714285714285,HIHP,0.2323939734330674,0.6914285714285714
北京,402,380,0.6293532338308457,0.2462686567164179,0.12437810945273632,0.5646766169154229,0.06467661691542288,0.28421052631578947,0.7157894736842105,0.8933823529411765,0.8198529411764706,0.07352941176470588,0.28703703703703703,0.7129629629629629,3.373134328358209,3.181592039800995,HIHP,0.2518041069396092,0.6293532338308457
天津,260,231,0.5692307692307692,0.2923076923076923,0.13846153846153847,0.5076923076923077,0.06153846153846154,0.354978354978355,0.645021645021645,0.8657718120805369,0.7986577181208053,0.06711409395973154,0.4268292682926829,0.573170731707317,3.169230769230769,2.9461538461538463,HIHP,0.3399080851860659,0.5692307692307692
石家庄,46,46,0.5652173913043478,0.2826086956521739,0.15217391304347827,0.5434782608695652,0.021739130434782608,0.34782608695652173,0.6521739130434783,0.8666666666666667,0.8333333333333334,0.03333333333333333,0.1875,0.8125,3.1739130434782608,3.0217391304347827,other,0.1507601496645623,0.5652173913043478
廊坊,27,27,0.4074074074074074,0.4074074074074074,0.18518518518518517,0.2222222222222222,0.18518518518518517,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.3888888888888889,0.6111111111111112,2.185185185185185,1.8148148148148149,other,0.1692405154008736,0.4074074074074074
南京,66,58,0.3787878787878788,0.5303030303030303,0.09090909090909091,0.3484848484848485,0.030303030303030304,0.5,0.5,0.8620689655172413,0.7931034482758621,0.06896551724137931,0.06896551724137931,0.9310344827586207,2.5,2.4393939393939394,HIHP,0.2308650611988101,0.3787878787878788
沈阳,79,70,0.2911392405063291,0.5443037974683544,0.16455696202531644,0.13924050632911392,0.1518987341772152,0.6571428571428571,0.34285714285714286,0.8333333333333334,0.4583333333333333,0.375,0.2608695652173913,0.7391304347826086,1.9620253164556962,1.5949367088607596,HIHP,0.19814809351285,0.2911392405063291
无锡,34,33,0.2647058823529412,0.5,0.23529411764705882,0.23529411764705882,0.029411764705882353,0.5454545454545454,0.45454545454545453,0.5333333333333333,0.4666666666666667,0.06666666666666667,0.1111111111111111,0.8888888888888888,1.9705882352941178,1.8823529411764706,HIHP,0.2137806792184617,0.2647058823529412
常州,6,5,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.0,0.8,0.2,1.0,1.0,0.0,0.0,1.0,1.5,1.3333333333333333,,,
太原,15,15,0.13333333333333333,0.6666666666666666,0.2,0.13333333333333333,0.0,0.8,0.2,0.6666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.8333333333333334,1.5333333333333334,1.3333333333333333,,,
大连,143,142,0.1048951048951049,0.6853146853146853,0.2097902097902098,0.03496503496503497,0.06993006993006994,0.7112676056338029,0.2887323943661972,0.36585365853658536,0.12195121951219512,0.24390243902439024,0.039603960396039604,0.9603960396039604,1.5034965034965035,1.3776223776223777,HILP,0.2520720259822621,0.1048951048951049
长春,59,45,0.0847457627118644,0.6610169491525424,0.2542372881355932,0.0847457627118644,0.0,0.7333333333333333,0.26666666666666666,0.4166666666666667,0.4166666666666667,0.0,0.24242424242424243,0.7575757575757576,1.5254237288135593,1.3898305084745763,other,0.145539889295396,0.0847457627118644
徐州,38,25,0.07894736842105263,0.7894736842105263,0.13157894736842105,0.05263157894736842,0.02631578947368421,0.8,0.2,0.6,0.4,0.2,0.15,0.85,1.368421052631579,1.263157894736842,HILP,0.1911870288121159,0.0789473684210526
丹东,13,12,0.07692307692307693,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.0,0.8333333333333334,0.16666666666666666,0.5,0.5,0.0,0.2,0.8,1.3846153846153846,1.2307692307692308,,,
哈尔滨,58,42,0.034482758620689655,0.8103448275862069,0.15517241379310345,0.0,0.034482758620689655,0.9523809523809523,0.047619047619047616,0.0,0.0,0.0,0.225,0.775,1.2241379310344827,1.0689655172413792,HILP,0.1873791541522305,0.0344827586206896
保定,2,2,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,2.0,1.5,,,
吉林,28,22,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.8636363636363636,0.13636363636363635,0.0,0.0,0.0,0.05263157894736842,0.9473684210526315,1.1428571428571428,1.1071428571428572,,,
唐山,4,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,1.0,1.0,1.0,,,
张家口,4,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,1.0,1.0,1.0,,,
