城市,community_id,first_exposure_year,available_years_after_first,bottom_years_total,longest_bottom_streak,persistent_bottom_3plus,immediate_repeat_after_first,any_repeat_after_first,reentry_after_gap,eligible_one_step,path_one_shot,path_short_repeat_nonpersistent,path_continuous_persistent,path_fragmented_persistent
上海,上海||嘉定||丰庄||锦银休闲广场,2018,4,1,1,False,False,False,False,True,True,False,False,False
上海,上海||嘉定||南翔||新城公馆,2019,3,4,4,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||南翔||海伦堡爱ME城市,2018,4,4,3,True,False,True,True,True,False,False,True,False
上海,上海||嘉定||南翔||骏丰嘉峰汇,2021,1,2,2,False,True,True,False,True,False,True,False,False
上海,上海||嘉定||嘉定新城||合景峰汇(嘉定),2018,4,5,5,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定新城||合景理想家,2018,4,5,5,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定新城||好世商业广场,2020,2,3,3,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定新城||新城金郡（商住）,2018,4,5,5,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定新城||新城香溢澜庭,2019,3,3,3,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定新城||绿地卡米公社,2019,3,4,4,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定新城||育兰二村,2018,4,4,4,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定新城||龙湖蔚澜香醍,2018,4,2,2,False,True,True,False,True,False,True,False,False
上海,上海||嘉定||嘉定老城||南苑一村,2018,4,5,5,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定老城||南苑七村,2018,4,5,5,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定老城||南苑二村,2018,4,5,5,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定老城||南苑八村,2018,4,5,5,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定老城||南苑四村,2018,4,5,5,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定老城||叶城三街坊,2018,4,5,5,True,True,True,False,True,False,False,True,False
上海,上海||嘉定||嘉定老城||嘉丰佳苑,2018,4,4,4,True,True,True,False,True,False,False,True,False
