department,balanced_communes,ever_full_share,exposure_share_observable,lambda_immediate_escape,non_escape_share,delta_deepen_given_immediate_repeat,persistent_share_3plus,minimal_law_prediction,exposure_only_prediction,persistent_count,observable_exposed_count,immediate_repeat_count,persistent_among_immediate_repeat_count,median_commune_price_per_m2,total_transactions,minimal_abs_error,exposure_only_abs_error,minimal_beats_exposure_only
01,303,0.40264026402640263,0.36633663366336633,0.5315315315315315,0.46846846846846846,0.7115384615384616,0.16831683168316833,0.12211221122112212,0.36633663366336633,51,111,52,37,2383.712121212121,55947,0.04620462046204621,0.198019801980198,True
02,314,0.39490445859872614,0.35987261146496813,0.5132743362831859,0.48672566371681414,0.7454545454545455,0.17834394904458598,0.1305732484076433,0.35987261146496813,56,113,55,41,1348.3273404452725,37239,0.047770700636942665,0.18152866242038215,True
03,234,0.5470085470085471,0.49145299145299143,0.7478260869565218,0.25217391304347825,0.6896551724137931,0.10683760683760683,0.08547008547008547,0.49145299145299143,25,115,29,20,1124.9304783092325,40752,0.02136752136752136,0.3846153846153846,True
04,107,0.4672897196261682,0.4392523364485981,0.6595744680851063,0.3404255319148936,0.6875,0.14953271028037382,0.102803738317757,0.4392523364485981,16,47,16,11,2346.938775510204,20449,0.046728971962616814,0.28971962616822433,True
05,88,0.375,0.36363636363636365,0.5625,0.4375,0.7857142857142857,0.17045454545454544,0.125,0.36363636363636365,15,32,14,11,2651.3005007772394,20209,0.04545454545454544,0.1931818181818182,True
06,125,0.296,0.28,0.2857142857142857,0.7142857142857143,0.88,0.192,0.17600000000000002,0.28,24,35,25,22,3921.052631578948,160662,0.015999999999999986,0.08800000000000002,True
07,221,0.47058823529411764,0.4434389140271493,0.6632653061224489,0.336734693877551,0.6666666666666666,0.1493212669683258,0.09954751131221719,0.4434389140271493,33,98,33,22,2173.913043478261,29900,0.0497737556561086,0.2941176470588235,True
08,131,0.4351145038167939,0.4122137404580153,0.5740740740740741,0.42592592592592593,0.6086956521739131,0.16030534351145037,0.1068702290076336,0.4122137404580153,21,54,23,14,1300.6849315068494,19044,0.05343511450381677,0.2519083969465649,True
09,133,0.518796992481203,0.46616541353383456,0.6612903225806452,0.3387096774193548,0.47619047619047616,0.10526315789473684,0.07518796992481203,0.46616541353383456,14,62,21,10,1529.1666666666663,16142,0.03007518796992481,0.3609022556390977,True
10,157,0.4394904458598726,0.39490445859872614,0.6774193548387097,0.3225806451612903,0.85,0.15286624203821655,0.10828025477707005,0.39490445859872614,24,62,20,17,1485.935171385991,24842,0.0445859872611465,0.24203821656050958,True
11,223,0.4618834080717489,0.43946188340807174,0.6428571428571428,0.35714285714285715,0.6857142857142857,0.15246636771300448,0.10762331838565023,0.43946188340807174,34,98,35,24,1629.1775682954983,48353,0.04484304932735425,0.28699551569506726,True
12,186,0.510752688172043,0.46774193548387094,0.7126436781609196,0.28735632183908044,0.64,0.14516129032258066,0.08602150537634408,0.46774193548387094,27,87,25,16,1468.8469030772685,26352,0.059139784946236576,0.32258064516129026,True
13,130,0.3153846153846154,0.3,0.3589743589743589,0.6410256410256411,0.88,0.2076923076923077,0.16923076923076924,0.3,27,39,25,22,4096.819335631387,180803,0.038461538461538464,0.09230769230769229,True
14,338,0.3905325443786982,0.3757396449704142,0.5590551181102362,0.4409448818897638,0.8035714285714286,0.17159763313609466,0.1331360946745562,0.3757396449704142,58,127,56,45,2384.554034425413,81943,0.038461538461538464,0.20414201183431951,True
15,110,0.5636363636363636,0.5,0.7454545454545455,0.2545454545454545,0.5714285714285714,0.12727272727272726,0.07272727272727271,0.5,14,55,14,8,1239.1760651629074,12817,0.05454545454545455,0.37272727272727274,True
16,264,0.4962121212121212,0.4393939393939394,0.6810344827586207,0.31896551724137934,0.6486486486486487,0.1553030303030303,0.09090909090909093,0.4393939393939394,41,116,37,24,1343.9602784152803,37516,0.06439393939393938,0.28409090909090906,True
17,342,0.40350877192982454,0.37719298245614036,0.5116279069767442,0.4883720930232558,0.7142857142857143,0.16666666666666666,0.13157894736842105,0.37719298245614036,57,129,63,45,1902.7783185303824,79021,0.03508771929824561,0.2105263157894737,True
18,201,0.472636815920398,0.43781094527363185,0.6477272727272727,0.3522727272727273,0.6774193548387096,0.14925373134328357,0.10447761194029852,0.43781094527363185,30,88,31,21,1083.3333333333333,32971,0.04477611940298505,0.2885572139303483,True
19,160,0.48125,0.43125,0.6521739130434783,0.34782608695652173,0.7083333333333334,0.15625,0.10625,0.43125,25,69,24,17,1357.583774250441,25975,0.05,0.275,True
21,219,0.3835616438356164,0.3561643835616438,0.5256410256410257,0.47435897435897434,0.8378378378378378,0.1689497716894977,0.1415525114155251,0.3561643835616438,37,78,37,31,2063.068181818182,47261,0.0273972602739726,0.1872146118721461,True
22,309,0.36893203883495146,0.35275080906148865,0.5321100917431192,0.46788990825688076,0.8627450980392157,0.1941747572815534,0.14239482200647252,0.35275080906148865,60,109,51,44,1707.4460801095515,78657,0.051779935275080874,0.15857605177993525,True
23,156,0.532051282051282,0.48717948717948717,0.75,0.25,0.7368421052631579,0.16025641025641027,0.08974358974358973,0.48717948717948717,25,76,19,14,849.2088162978573,14090,0.07051282051282054,0.32692307692307687,True
24,340,0.5088235294117647,0.4588235294117647,0.6538461538461539,0.34615384615384615,0.6296296296296297,0.13823529411764707,0.09999999999999999,0.4588235294117647,47,156,54,34,1696.9039143873003,55228,0.038235294117647076,0.3205882352941176,True
25,212,0.41509433962264153,0.3867924528301887,0.5365853658536586,0.4634146341463415,0.6842105263157895,0.13679245283018868,0.12264150943396228,0.3867924528301887,29,82,38,26,2136.3395683110825,45605,0.014150943396226398,0.25,True
26,190,0.49473684210526314,0.4473684210526316,0.6941176470588235,0.3058823529411765,0.7692307692307693,0.13157894736842105,0.10526315789473685,0.4473684210526316,25,85,26,20,2504.446577792948,47006,0.026315789473684195,0.3157894736842105,True
27,436,0.5022935779816514,0.4610091743119266,0.7064676616915423,0.2935323383084577,0.6610169491525424,0.13761467889908258,0.08944954128440366,0.4610091743119266,60,201,59,39,1988.1513926325247,59247,0.048165137614678916,0.32339449541284404,True
28,263,0.42585551330798477,0.39543726235741444,0.4807692307692307,0.5192307692307693,0.6851851851851852,0.17110266159695817,0.14068441064638784,0.39543726235741444,45,104,54,37,1818.1818181818185,39808,0.030418250950570325,0.22433460076045628,True
29,264,0.3522727272727273,0.3143939393939394,0.4337349397590361,0.5662650602409639,0.851063829787234,0.17803030303030304,0.15151515151515152,0.3143939393939394,47,83,47,40,2000.0,96465,0.02651515151515152,0.13636363636363635,True
2A,50,0.38,0.38,0.4736842105263158,0.5263157894736842,0.6,0.14,0.11999999999999998,0.38,7,19,10,6,4218.574421597677,13098,0.02000000000000003,0.24,True
2B,62,0.3709677419354839,0.3387096774193548,0.5714285714285714,0.42857142857142855,0.8888888888888888,0.1935483870967742,0.1290322580645161,0.3387096774193548,12,21,9,8,3197.1775138313633,12129,0.06451612903225809,0.14516129032258063,True
30,281,0.3914590747330961,0.35587188612099646,0.53,0.47,0.851063829787234,0.17437722419928825,0.14234875444839856,0.35587188612099646,49,100,47,40,2555.555555555556,77207,0.03202846975088969,0.1814946619217082,True
31,300,0.3333333333333333,0.32,0.40625,0.59375,0.8596491228070176,0.19333333333333333,0.16333333333333333,0.32,58,96,57,49,2491.8597459995444,125070,0.03,0.12666666666666668,True
32,115,0.5478260869565217,0.5217391304347826,0.7333333333333334,0.26666666666666666,0.375,0.12173913043478261,0.052173913043478265,0.5217391304347826,14,60,16,6,1636.3636363636365,15584,0.06956521739130435,0.39999999999999997,True
