test,cutoff_q,component,source_column,n_rows,n_cities,mean_unweighted,median,p25,p75,weighted_mean_by_units,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_resampling
single_split_2018_2020_to_2021_2022,0.1,X,X_train_2018_2020,20,20,0.17097233219278593,0.16185897435897428,0.1312743685176308,0.2065672820014573,0.13275243464889794,0.15285467290791535,0.18963695299790323,city_rows
single_split_2018_2020_to_2021_2022,0.1,lambda,lambda_train_2018_2020,20,20,0.413350803026863,0.46111111111111114,0.23009446693657212,0.5320588235294118,0.23483172082895223,0.3384095389971367,0.49118492690137855,city_rows
single_split_2018_2020_to_2021_2022,0.1,non_escape,non_escape_train_2018_2020,20,20,0.5866491969731369,0.5388888888888889,0.4679411764705882,0.7699055330634277,0.7651682791710478,0.5103044435452213,0.6619360118992857,city_rows
single_split_2018_2020_to_2021_2022,0.1,delta_active,delta_active_train_2018_2020,20,20,0.8660807843163664,0.9033444816053511,0.7419871794871795,0.9673913043478262,0.9243427944978986,0.808668479737495,0.9206466905111808,city_rows
single_split_2018_2020_to_2021_2022,0.1,delta_strict,delta_all3_train_2018_2020,20,20,0.5656862891078458,0.49777777777777776,0.3333333333333333,0.8201581027667985,0.7595391560931954,0.45146693336157895,0.6811736037394314,city_rows
single_split_2018_2020_to_2021_2022,0.1,markov_p11,p11_train_2018_2020,20,20,0.6389498654935022,0.6594202898550725,0.5,0.8261742424242424,0.815634035644669,0.5575600716387876,0.7196040441403028,city_rows
single_split_2018_2020_to_2021_2022,0.15,X,X_train_2018_2020,20,20,0.23828675450567668,0.2452564102564102,0.18338932678640651,0.26793478260869563,0.19086365966171193,0.21808241940418463,0.25895594944919015,city_rows
single_split_2018_2020_to_2021_2022,0.15,lambda,lambda_train_2018_2020,20,20,0.36742811621996985,0.4046349466776046,0.15485829959514164,0.5138888888888888,0.19516198777241264,0.2863572049188966,0.44490055204661866,city_rows
single_split_2018_2020_to_2021_2022,0.15,non_escape,non_escape_train_2018_2020,20,20,0.63257188378003,0.5953650533223953,0.4861111111111111,0.8451417004048583,0.8048380122275873,0.5559708518390427,0.7128379268890842,city_rows
single_split_2018_2020_to_2021_2022,0.15,delta_active,delta_active_train_2018_2020,20,20,0.8721451029539485,0.8667157584683358,0.8250000000000001,0.94111834457103,0.9278413282709775,0.8327508739944746,0.9095368127028233,city_rows
single_split_2018_2020_to_2021_2022,0.15,delta_strict,delta_all3_train_2018_2020,20,20,0.568638249750167,0.5632440476190477,0.41330645161290325,0.7525214147554573,0.7811893829439782,0.46229355411693424,0.6701977217088718,city_rows
single_split_2018_2020_to_2021_2022,0.15,markov_p11,p11_train_2018_2020,20,20,0.6760633251923559,0.6639549436795995,0.5503731343283582,0.8667620481927711,0.8429973956562158,0.6023147084675059,0.7517240628371612,city_rows
single_split_2018_2020_to_2021_2022,0.2,X,X_train_2018_2020,20,20,0.3000714337552736,0.29296426400054043,0.25641733838614506,0.3333333333333333,0.24698872373141978,0.2758187737453407,0.32531077306471423,city_rows
single_split_2018_2020_to_2021_2022,0.2,lambda,lambda_train_2018_2020,20,20,0.32460202750529926,0.3522350270647808,0.17857142857142855,0.41363636363636364,0.17611167814212153,0.2569173482448973,0.3911022124264613,city_rows
single_split_2018_2020_to_2021_2022,0.2,non_escape,non_escape_train_2018_2020,20,20,0.6753979724947008,0.6477649729352191,0.5863636363636363,0.8214285714285714,0.8238883218578783,0.6058063797436944,0.7421691294581257,city_rows
single_split_2018_2020_to_2021_2022,0.2,delta_active,delta_active_train_2018_2020,20,20,0.8876633034666893,0.9023112736947123,0.8167613636363636,0.9552087018040326,0.937264757528155,0.8542579069799756,0.9206623006433617,city_rows
single_split_2018_2020_to_2021_2022,0.2,delta_strict,delta_all3_train_2018_2020,20,20,0.6002385259198282,0.5983870967741935,0.45964912280701753,0.778943278943279,0.8082421516912678,0.4996273945649897,0.6939368799052239,city_rows
single_split_2018_2020_to_2021_2022,0.2,markov_p11,p11_train_2018_2020,20,20,0.7182300181596236,0.7169633687093461,0.6328947368421052,0.8348214285714286,0.8625702614198467,0.6490135733703625,0.7856339142611577,city_rows
single_split_2018_2020_to_2021_2022,0.25,X,X_train_2018_2020,20,20,0.3589826641860644,0.3585513659099654,0.3091092567675995,0.39087719298245605,0.30170425422860064,0.33514284625030577,0.3840448434732624,city_rows
single_split_2018_2020_to_2021_2022,0.25,lambda,lambda_train_2018_2020,20,20,0.27488082250341755,0.3006849315068493,0.15163043478260863,0.35277777777777775,0.15923072230642102,0.22450568668661702,0.3287095559158173,city_rows
