cutoff_q,horizon_years,target_mode,n,kernel_vs_target_after_exposure_pearson,kernel_vs_target_after_exposure_spearman,kernel_vs_target_after_exposure_mae,kernel_calibration_slope,kernel_calibration_intercept
0.1,1,all_holdout_years,79,0.9746506905194724,0.9739020364061621,0.12243569266543455,0.6649627891661819,0.2992195596940422
0.1,1,majority_holdout_years,79,0.9746506905194724,0.9739020364061621,0.12243569266543455,0.6649627891661819,0.2992195596940422
0.1,2,all_holdout_years,58,0.8372172204889092,0.8626105685198824,0.08574730109884222,0.985279796951796,-0.053846556276159745
0.1,2,majority_holdout_years,58,0.8372172204889092,0.8626105685198824,0.08574730109884222,0.985279796951796,-0.053846556276159745
0.1,3,all_holdout_years,38,0.8052143666265499,0.7806292761344922,0.12007245481983415,0.9168116012481438,-0.07040381097320196
0.1,3,majority_holdout_years,38,0.8675967822803169,0.8867852270458138,0.09220180686036157,0.7533708126260121,0.21927680621333417
0.1,4,all_holdout_years,29,0.7626662479835192,0.7131420179724219,0.14846376929319752,0.8553883027098939,-0.06936577652951316
0.1,4,majority_holdout_years,29,0.8556860927348431,0.8381374722838139,0.058097693738526406,0.9377702359767596,0.02696506040195828
0.1,5,all_holdout_years,22,0.7222444586751,0.727683615819209,0.18116478511666753,0.7681669926492469,-0.06414212383956808
0.1,5,majority_holdout_years,22,0.8869149716088752,0.8214689265536725,0.07861803395941087,0.7657533559884095,0.18781096008516748
