country,frame_type,frame_id,frame_name,window_start,window_end,cohort_type,lower_tail_q,persistent_min_count,min_transactions_per_unit_year,min_units_per_frame_year,n_units,n_exposed,n_repeat_exposed,n_persistent,escape_denominator,escape_numerator,X_exposure,lambda_immediate_escape,delta_repeat_deepening,P_observed,P_predicted_pathway,P_predicted_exposure_only,absolute_error_pathway,absolute_error_exposure_only,hardening_kernel
UK,bua,E63007169,,2018,2022,available,0.2,3,3,10,11,4,3,2,4,1,0.36363636363636365,0.25,0.6666666666666666,0.18181818181818182,0.1818181818181818,0.36363636363636365,2.7755575615628914e-17,0.18181818181818182,0.5
UK,bua,E63007883,,2018,2022,available,0.2,3,3,10,19,6,3,3,5,2,0.3157894736842105,0.4,1.0,0.15789473684210525,0.1894736842105263,0.3157894736842105,0.03157894736842104,0.15789473684210525,0.6
UK,bua,E63007920,,2018,2022,available,0.2,3,3,10,15,3,3,3,3,0,0.2,0.0,1.0,0.2,0.2,0.2,0.0,0.0,1.0
UK,bua,E63007930,,2018,2022,available,0.2,3,3,10,10,3,2,2,3,2,0.3,0.6666666666666666,1.0,0.2,0.1,0.3,0.1,0.09999999999999998,0.33333333333333337
UK,bua,E63008401,,2018,2022,available,0.2,3,3,10,18,6,4,2,6,2,0.3333333333333333,0.3333333333333333,0.5,0.1111111111111111,0.11111111111111112,0.3333333333333333,1.3877787807814457e-17,0.2222222222222222,0.33333333333333337
UK,bua,E63008477,,2018,2022,available,0.2,3,3,10,25,10,5,4,10,6,0.4,0.6,0.8,0.16,0.12800000000000003,0.4,0.03199999999999997,0.24000000000000002,0.32000000000000006
UK,bua,E63008489,,2018,2022,available,0.2,3,3,10,17,5,4,2,5,1,0.29411764705882354,0.2,0.5,0.11764705882352941,0.11764705882352942,0.29411764705882354,1.3877787807814457e-17,0.17647058823529413,0.4
UK,bua,E63009805,,2018,2022,available,0.2,3,3,10,12,3,3,2,3,1,0.25,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.11111111111111112,0.25,0.05555555555555554,0.08333333333333334,0.4444444444444445
UK,bua,E63010038,,2018,2022,available,0.2,3,3,10,48,14,12,10,13,3,0.2916666666666667,0.23076923076923078,0.8333333333333334,0.20833333333333334,0.18696581196581197,0.2916666666666667,0.021367521367521375,0.08333333333333334,0.641025641025641
UK,bua,E63010901,,2018,2022,available,0.2,3,3,10,13,2,2,2,2,0,0.15384615384615385,0.0,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,1.0
UK,bua,E63011803,,2018,2022,available,0.2,3,3,10,12,5,2,2,4,2,0.4166666666666667,0.5,1.0,0.16666666666666666,0.20833333333333334,0.4166666666666667,0.041666666666666685,0.25,0.5
UK,bua,E63011868,,2018,2022,available,0.2,3,3,10,17,6,4,3,6,4,0.35294117647058826,0.6666666666666666,0.75,0.17647058823529413,0.08823529411764708,0.35294117647058826,0.08823529411764705,0.17647058823529413,0.25
UK,bua,E63011909,,2018,2022,available,0.2,3,3,10,11,4,3,1,4,3,0.36363636363636365,0.75,0.3333333333333333,0.09090909090909091,0.030303030303030304,0.36363636363636365,0.06060606060606061,0.2727272727272727,0.08333333333333333
UK,bua,E63011923,,2018,2022,available,0.2,3,3,10,11,4,3,1,3,2,0.36363636363636365,0.6666666666666666,0.3333333333333333,0.09090909090909091,0.04040404040404041,0.36363636363636365,0.050505050505050504,0.2727272727272727,0.11111111111111112
UK,bua,E63011927,,2018,2022,available,0.2,3,3,10,15,4,3,3,4,1,0.26666666666666666,0.25,1.0,0.2,0.2,0.26666666666666666,0.0,0.06666666666666665,0.75
