filename,rows,columns,role
china_transaction_detail_validation_expansion_city_summary_2026-04-23.csv,6,19,analysis-ready table used by public reproduction scripts
china_transaction_detail_validation_expansion_pair_scores_2026-04-23.csv,45,17,analysis-ready table used by public reproduction scripts
china_transaction_detail_validation_expansion_panel_2026-04-23.csv,28608,21,analysis-ready table used by public reproduction scripts
china_transaction_detail_validation_expansion_source_summary_public_2026-04-23.csv,3,8,analysis-ready table used by public reproduction scripts
city_transition_process_decomposition_2018_2022.csv,20,20,analysis-ready table used by public reproduction scripts
community_transition_process_2018_2022.csv,1651,15,analysis-ready table used by public reproduction scripts
component_attribution_board_2026-04-23.csv,11,13,analysis-ready table used by public reproduction scripts
france_dvf_department_pathway_smoke_city_table_2021_2025.csv,93,19,analysis-ready table used by public reproduction scripts
france_dvf_department_pathway_smoke_model_summary_2021_2025.csv,2,7,analysis-ready table used by public reproduction scripts
transaction_validation_audit_board_2026-04-23.csv,14,5,analysis-ready table used by public reproduction scripts
transaction_validation_audit_city_detail_2026-04-23.csv,6,25,analysis-ready table used by public reproduction scripts
transaction_validation_audit_pair_detail_2026-04-23.csv,45,14,analysis-ready table used by public reproduction scripts
uk_all_available12_holdout_split_table_2026-04-23.csv,660,9,analysis-ready table used by public reproduction scripts
uk_all_available12_holdout_transfer_summary_2026-04-23.csv,3,9,analysis-ready table used by public reproduction scripts
uk_top10_holdout_transfer_summary_2026-04-23.csv,3,9,analysis-ready table used by public reproduction scripts
universal_pathway_law_city_table_2026-04-20.csv,12,22,analysis-ready table used by public reproduction scripts
